A	ఆ
AnaMdakaramaina	ఆనందకరమైన
AnaMdamE	ఆనందమే
AnaMdanilayuDaina	ఆనందనిలయుడైన
AnaMdiMcAlsinaMtagA	ఆనందించాల్సినంతగా
AnavAyitI	ఆనవాయితీ
AniMcAli	ఆనించాలి
Anukuni	ఆనుకుని
ApAdiMci	ఆపాదించి
Apai	ఆపై
ApakuMDA	ఆపకుండా
AparEshan	ఆపరేషన్
Aph	ఆఫ్
AphIsulO	ఆఫీసులో
AphIsulOnE	ఆఫీసులోనే
ApukOkUDadu	ఆపుకోకూడదు
ApukOvaTaM	ఆపుకోవటం
ApyAyata	ఆప్యాయత
ApyAyataluMTAyanna	ఆప్యాయతలుంటాయన్న
Ar	ఆర్
ArATaM	ఆరాటం
ArAdhakulu	ఆరాధకులు
ArAdhana	ఆరాధన
ArAdhiMci	ఆరాధించి
ArAdhistunnavArU	ఆరాధిస్తున్నవారూ
ArOgyAlu	ఆరోగ్యాలు
ArOgyAnikI	ఆరోగ్యానికీ
ArOgyAniki	ఆరోగ్యానికి
ArOgyAnni	ఆరోగ్యాన్ని
ArOgya	ఆరోగ్య
ArOgyaM	ఆరోగ్యం
ArOgyaMgA	ఆరోగ్యంగా
ArOgyaMpai	ఆరోగ్యంపై
ArOgyaMtO	ఆరోగ్యంతో
ArOgyakaraMgA	ఆరోగ్యకరంగా
ArOgyakaramaina	ఆరోగ్యకరమైన
ArOgyamannadi	ఆరోగ్యమన్నది
ArOju	ఆరోజు
ArOjullO	ఆరోజుల్లో
ArTIsI	ఆర్టీసీ
AraMbhaMlO	ఆరంభంలో
AraMbhamai	ఆరంభమై
AraMbhamaiMdi	ఆరంభమైంది
AraMbhamavutuMdi	ఆరంభమవుతుంది
AraMbhiMcAli	ఆరంభించాలి
AraMbhiMcaTaMtO	ఆరంభించటంతో
AraMbhiMci	ఆరంభించి
ArdrOtsavAnni	ఆర్ద్రోత్సవాన్ని
Arjita	ఆర్జిత
ArjitasEvalu	ఆర్జితసేవలు
Arthika	ఆర్థిక
ArthikaMgA	ఆర్థికంగా
ArtigA	ఆర్తిగా
Aru	ఆరు
ArudrA	ఆరుద్రా
Arudra	ఆరుద్ర
ArukilOmITarla	ఆరుకిలోమీటర్ల
Arunelala	ఆరునెలల
AruvaMdala	ఆరువందల
Asakti	ఆసక్తి
Asaktikaramaina	ఆసక్తికరమైన
Asaktini	ఆసక్తిని
Asaktulu	ఆసక్తులు
AsanAlE	ఆసనాలే
AsanAla	ఆసనాల
AsanAlanu	ఆసనాలను
AsanAlu	ఆసనాలు
Asana	ఆసన
AshADhamAsaM	ఆషాఢమాసం
AskAraM	ఆస్కారం
AskAramuMTuMdani	ఆస్కారముంటుందని
AsthAnakavi	ఆస్థానకవి
AstulannI	ఆస్తులన్నీ
Astulu	ఆస్తులు
Asupatri	ఆసుపత్రి
Asupatriki	ఆసుపత్రికి
AsupatrilOnE	ఆసుపత్రిలోనే
AsvAdiMcE	ఆస్వాదించే
AsvAdiMcElA	ఆస్వాదించేలా
AsvAdiMcalEmani	ఆస్వాదించలేమని
AsvAdiMcoccu	ఆస్వాదించొచ్చు
AtarvAta	ఆతర్వాత
AtmAhuti	ఆత్మాహుతి
Atma	ఆత్మ
AtmanyUnatatO	ఆత్మన్యూనతతో
AtmaviSvAsaM	ఆత్మవిశ్వాసం
AvAlU	ఆవాలూ
AvaSyakaMgA	ఆవశ్యకంగా
AvaraNalO	ఆవరణలో
AvariMciMdi	ఆవరించింది
AvariMcina	ఆవరించిన
AvaristuMTuMdi	ఆవరిస్తుంటుంది
AviDE	ఆవిడే
AviraiMdi	ఆవిరైంది
AvirbhAviMcAyanI	ఆవిర్భావించాయనీ
AvirbhaviMcADani	ఆవిర్భవించాడని
AvirbhaviMcina	ఆవిర్భవించిన
Aviri	ఆవిరి
AvishkArAniki	ఆవిష్కారానికి
AvishkAraM	ఆవిష్కారం
AvishkaristOMdi	ఆవిష్కరిస్తోంది
AyA	ఆయా
Ayana	ఆయన
AyuHpramANaM	ఆయుఃప్రమాణం
CArTeD	ఛార్టెడ్
CAtI	ఛాతీ
CAtIki	ఛాతీకి
CAtIlO	ఛాతీలో
CEdiMcaTAniki	ఛేదించటానికి
CEdiMcukuni	ఛేదించుకుని
CI	ఛీ
CICI	ఛీఛీ
CIcCI	ఛీచ్ఛీ
DA	డా
DAT	డాట్
DAkTar	డాక్టర్
DAkTarlu	డాక్టర్లు
DAlarla	డాలర్ల
DAplar	డాప్లర్
DOlOtsavAnni	డోలోత్సవాన్ని
Dab	డబ్
Dabbu	డబ్బు
DabbuMDaTaM	డబ్బుండటం
DairekTarlu	డైరెక్టర్లు
Dappu	డప్పు
DayAphraM	డయాఫ్రం
DayAphramATik	డయాఫ్రమాటిక్
Debbhai	డెబ్భై
DhamarukAdi	ఢమరుకాది
DhuMDi	ఢుండి
DigrI	డిగ్రీ
DilDUlu	డిల్డూలు
DipAjiT	డిపాజిట్
DipAjiTlalAgA	డిపాజిట్లలాగా
Dipreshan	డిప్రెషన్
DipyUTI	డిప్యూటీ
DiseMbarulO	డిసెంబరులో
Divais	డివైస్
E	ఏ
EDAdi	ఏడాది
EDAdipATu	ఏడాదిపాటు
EDAditO	ఏడాదితో
EDu	ఏడు
EDukoMDalavADani	ఏడుకొండలవాడని
EDustU	ఏడుస్తూ
ELla	ఏళ్ల
ELlaku	ఏళ్లకు
ELlugA	ఏళ్లుగా
EM	ఏం
EMTaMTE	ఏంటంటే
ETA	ఏటా
ETIem	ఏటీఎమ్
EdO	ఏదో
EdainA	ఏదైనా
Edani	ఏదని
Edi	ఏది
EdigEkoddI	ఏదిగేకొద్దీ
Een	ఏఎన్
EkAMtaM	ఏకాంతం
EkAdaSi	ఏకాదశి
EkAdaSinADu	ఏకాదశినాడు
EkAgratA	ఏకాగ్రతా
EkAgratatO	ఏకాగ్రతతో
EkakAlaMlO	ఏకకాలంలో
Elina	ఏలిన
ElubaDilOnE	ఏలుబడిలోనే
EmAtraM	ఏమాత్రం
EmI	ఏమీ
EmiTI	ఏమిటీ
EmiTO	ఏమిటో
EmiTi	ఏమిటి
EmistAvani	ఏమిస్తావని
EnugulU	ఏనుగులూ
EpI	ఏపీ
Epril	ఏప్రిల్
ErObik	ఏరోబిక్
ErpATaiMdi	ఏర్పాటైంది
ErpATlu	ఏర్పాట్లు
ErpATu	ఏర్పాటు
ErpATucESAru	ఏర్పాటుచేశారు
ErpATucEyaMDi	ఏర్పాటుచేయండి
ErpaDE	ఏర్పడే
ErpaDaTAniki	ఏర్పడటానికి
ErpaDi	ఏర్పడి
ErpaDiMdaMTE	ఏర్పడిందంటే
ErpaDiMdi	ఏర్పడింది
ErpaDutuMdi	ఏర్పడుతుంది
ErparacukOvaTaM	ఏర్పరచుకోవటం
EvEvO	ఏవేవో
EvainA	ఏవైనా
Evi	ఏవి
EyE	ఏయే
I	ఈ
ISvaruDu	ఈశ్వరుడు
ISvaruni	ఈశ్వరుని
Ij	ఈజ్
IkshEtra	ఈక్షేత్ర
IsaDiMcEstunnAM	ఈసడించేస్తున్నాం
IsaMstha	ఈసంస్థ
O	ఓ
ONItO	ఓణీతో
Oli	ఓలి
OrOju	ఓరోజు
OsAri	ఓసారి
Ovar	ఓవర్
SAMta	శాంత
SAMtaparacEMduku	శాంతపరచేందుకు
SAMtistADu	శాంతిస్తాడు
SAkha	శాఖ
SAkhala	శాఖల
SAkhalu	శాఖలు
SArIraka	శారీరక
SArIrakaMgA	శారీరకంగా
SAsanAla	శాసనాల
SAsanAlu	శాసనాలు
SAsanaM	శాసనం
SAstrIya	శాస్త్రీయ
SAstrIyaMgA	శాస్త్రీయంగా
SAstrIyamaina	శాస్త్రీయమైన
SAstra	శాస్త్ర
SAstraMgA	శాస్త్రంగా
SAstraMlAgA	శాస్త్రంలాగా
SAtaM	శాతం
SRMgArAniki	శృంగారానికి
SRMgArAnni	శృంగారాన్ని
SRMgArAnubhavAnnI	శృంగారానుభవాన్నీ
SRMgAra	శృంగార
SRMgAraM	శృంగారం
SRMgAraMtO	శృంగారంతో
SRMgAramaMTE	శృంగారమంటే
SRMgAramaMTEnE	శృంగారమంటేనే
SRMgAramanEdi	శృంగారమనేది
SRMgAramannadi	శృంగారమన్నది
SaMkaramaThaM	శంకరమఠం
SaMshAbAd	శంషాబాద్
SaThagOpa	శఠగోప
SabdaM	శబ్దం
SailaM	శైలం
SaililO	శైలిలో
Saiva	శైవ
SaivakshEtraM	శైవక్షేత్రం
SaivulakU	శైవులకూ
Saivulu	శైవులు
SakalAlu	శకలాలు
SaktaMtA	శక్తంతా
Saktini	శక్తిని
SaktipIThAllOnU	శక్తిపీఠాల్లోనూ
SaktipIThAlni	శక్తిపీఠాల్ని
SanivAra	శనివార
SanivAraM	శనివారం
SarIrAla	శరీరాల
SarIrAllO	శరీరాల్లో
SarIrAniki	శరీరానికి
SarIrAnnI	శరీరాన్నీ
SarIrAnni	శరీరాన్ని
SarIra	శరీర
SarIraM	శరీరం
SarIraMlO	శరీరంలో
SarIraMlOni	శరీరంలోని
SatAbdAla	శతాబ్దాల
SatAbdaM	శతాబ్దం
SatAbdaMlO	శతాబ్దంలో
SatAbdaMlOnE	శతాబ్దంలోనే
SatAbdi	శతాబ్ది
SataghaTAbhishEkaM	శతఘటాభిషేకం
SataliMgAla	శతలింగాల
SataliMgAlu	శతలింగాలు
SavAsanaM	శవాసనం
SibirAlu	శిబిరాలు
SikharamA	శిఖరమా
SikshaNa	శిక్షణ
SilpAlu	శిల్పాలు
SirasAsanaM	శిరసాసనం
Sirasu	శిరసు
SishTarakshaNakU	శిష్టరక్షణకూ
SivAlayaM	శివాలయం
SivAlayaMlO	శివాలయంలో
SivArcana	శివార్చన
Sivabhaktulu	శివభక్తులు
SivakESavulaku	శివకేశవులకు
SivakESavulu	శివకేశవులు
SivalADji	శివలాడ్జి
SivaliMgAlu	శివలింగాలు
SivaliMgAnni	శివలింగాన్ని
SivarAj	శివరాజ్
SivarAtri	శివరాత్రి
SivasattulaMTE	శివసత్తులంటే
SivasattulaitE	శివసత్తులైతే
Sivasattulanu	శివసత్తులను
Sivasattulu	శివసత్తులు
SivuDiki	శివుడికి
SivuNNi	శివుణ్ణి
SlOkAniki	శ్లోకానికి
SrEyO	శ్రేయో
SrI	శ్రీ
SrISailamannamATa	శ్రీశైలమన్నమాట
SrIhari	శ్రీహరి
SrIkAkuLAniki	శ్రీకాకుళానికి
SrIkAkuLESvara	శ్రీకాకుళేశ్వర
SrIkAkuLESvarasvAmi	శ్రీకాకుళేశ్వరస్వామి
SrIkAkuLa	శ్రీకాకుళ
SrIkAkuLaM	శ్రీకాకుళం
SrIkAkuLaMgA	శ్రీకాకుళంగా
SrIkAkuLaMlO	శ్రీకాకుళంలో
SrIkAkuLaMlOni	శ్రీకాకుళంలోని
SrIkAraM	శ్రీకారం
SrIkRshNadEvarAyalu	శ్రీకృష్ణదేవరాయలు
SrIkRshNalIlA	శ్రీకృష్ణలీలా
SrIkRshNuDu	శ్రీకృష్ణుడు
SrIlakshmInarasiMhasvAmi	శ్రీలక్ష్మీనరసింహస్వామి
SrImahAvishNuvunu	శ్రీమహావిష్ణువును
SrInAthuDu	శ్రీనాథుడు
SrInivAsuDani	శ్రీనివాసుడని
SrInivAsuDiki	శ్రీనివాసుడికి
SrInivAsuniki	శ్రీనివాసునికి
SrIrAjyalakshmI	శ్రీరాజ్యలక్ష్మీ
SrIsvAmi	శ్రీస్వామి
SrIvArE	శ్రీవారే
SrIvAri	శ్రీవారి
SrIvArimeTTu	శ్రీవారిమెట్టు
SrIvArini	శ్రీవారిని
SrIvAru	శ్రీవారు
SrIvEMkaTESvaruDu	శ్రీవేంకటేశ్వరుడు
SraddhAsaktula	శ్రద్ధాసక్తుల
Sraddha	శ్రద్ధ
Srama	శ్రమ
SramalEni	శ్రమలేని
SubhAlu	శుభాలు
Subhramaina	శుభ్రమైన
SuddhI	శుద్ధీ
SuddhicEsukuMTE	శుద్ధిచేసుకుంటే
Sukra	శుక్ర
SukravAraM	శుక్రవారం
SvAsa	శ్వాస
SvAsanu	శ్వాసను
SvAsapai	శ్వాసపై
SvAsatO	శ్వాసతో
TATA	టాటా
TAys	టాయ్స్
TI	టీ
TIcar	టీచర్
TIes	టీఎస్
TIvI	టీవీ
TIvIlu	టీవీలు
TOkenlanu	టోకెన్లను
TOl	టోల్
TUrijaM	టూరిజం
TairlU	టైర్లూ
Tenshan	టెన్షన్
TesTOsTirAn	టెస్టోస్టిరాన్
ThIvi	ఠీవి
Ti	టి
TikeT	టికెట్
TikeTTu	టికెట్టు
TikeTlalO	టికెట్లలో
TikeTlanu	టికెట్లను
TikeTlapai	టికెట్లపై
TikkeTTupai	టిక్కెట్టుపై
TikkeTla	టిక్కెట్ల
TikkeTlanu	టిక్కెట్లను
TrAvel	ట్రావెల్
TrAven	ట్రావెన్
TrasTIlu	ట్రస్టీలు
TyAksIlu	ట్యాక్సీలు
aDDoccinaTTu	అడ్డొచ్చినట్టు
aDDugA	అడ్డుగా
aDDugODa	అడ్డుగోడ
aDDugODalu	అడ్డుగోడలు
aDDukaTTalu	అడ్డుకట్టలు
aDavi	అడవి
aDavullO	అడవుల్లో
aDigAru	అడిగారు
aDigiMdi	అడిగింది
aDigitE	అడిగితే
aDugu	అడుగు
aDugula	అడుగుల
aDugulu	అడుగులు
aDugupeTTE	అడుగుపెట్టే
aDugupeTTinappuDu	అడుగుపెట్టినప్పుడు
aDugutIsi	అడుగుతీసి
aDugutuMdi	అడుగుతుంది
aDvAns	అడ్వాన్స్
aMD	అండ్
aMDASayAlu	అండాశయాలు
aMDaM	అండం
aMDagA	అండగా
aMSAlU	అంశాలూ
aMSAlanU	అంశాలనూ
aMSAlanu	అంశాలను
aMSAlapai	అంశాలపై
aMSAlatO	అంశాలతో
aMSaM	అంశం
aMSaMgA	అంశంగా
aMSamEnani	అంశమేనని
aMSamainA	అంశమైనా
aMSamaina	అంశమైన
aMSamani	అంశమని
aMSamannadi	అంశమన్నది
aMTAru	అంటారు
aMTE	అంటే
aMTU	అంటూ
aMTuMTAru	అంటుంటారు
aMTunnAM	అంటున్నాం
aMbAnI	అంబానీ
aMcanA	అంచనా
aMcanAlapai	అంచనాలపై
aMcanAlu	అంచనాలు
aMdAli	అందాలి
aMdE	అందే
aMdaM	అందం
aMdaMgA	అందంగా
aMdaTaM	అందటం
aMdajEstAru	అందజేస్తారు
aMdajEstOMdi	అందజేస్తోంది
aMdaka	అందక
aMdamaina	అందమైన
aMdarU	అందరూ
aMdarikI	అందరికీ
aMdaru	అందరు
aMdi	అంది
aMdiMcAlani	అందించాలని
aMdiMcAlsina	అందించాల్సిన
aMdiMcAru	అందించారు
aMdiMcE	అందించే
aMdiMcEMduku	అందించేందుకు
aMdiMcEvanI	అందించేవనీ
aMdiMcaTaM	అందించటం
aMdistE	అందిస్తే
aMdistOMdani	అందిస్తోందని
aMdistunnAru	అందిస్తున్నారు
aMdubATulO	అందుబాటులో
aMdubATulOki	అందుబాటులోకి
aMdukE	అందుకే
aMdukOvAlannadi	అందుకోవాలన్నది
aMdukani	అందుకని
aMdukoMTunnADu	అందుకొంటున్నాడు
aMduku	అందుకు
aMdukuMTOMdi	అందుకుంటోంది
aMdukuMTU	అందుకుంటూ
aMdulO	అందులో
aMdutuMDaTaMtO	అందుతుండటంతో
aMdutuMdi	అందుతుంది
aMduvalla	అందువల్ల
aMgAMga	అంగాంగ
aMgAla	అంగాల
aMgIkariMcE	అంగీకరించే
aMgIrasa	అంగీరస
aMga	అంగ
aMgaLlE	అంగళ్లే
aMgaM	అంగం
aMgapAluDi	అంగపాలుడి
aMgastaMbhana	అంగస్తంభన
aMgastaMbhanalO	అంగస్తంభనలో
aMgastaMbhanalaku	అంగస్తంభనలకు
aMkurArpaNa	అంకురార్పణ
aMtA	అంతా
aMtE	అంతే
aMtEgAnI	అంతేగానీ
aMtEkAdu	అంతేకాదు
aMta	అంత
aMtaTidi	అంతటిది
aMtakaMTE	అంతకంటే
aMtaku	అంతకు
aMtamoMdiMcina	అంతమొందించిన
aMtarbhAgAlavO	అంతర్భాగాలవో
aMtarjAlaM	అంతర్జాలం
aMtarjAlaMlO	అంతర్జాలంలో
aMtarjAtIya	అంతర్జాతీయ
aMtarlInaMgA	అంతర్లీనంగా
aMtarvAhini	అంతర్వాహిని
aMtarvAhinigA	అంతర్వాహినిగా
aMtasthulO	అంతస్థులో
aMtasthulOni	అంతస్థులోని
aMtasthulugA	అంతస్థులుగా
aMtimaMgA	అంతిమంగా
aMtubaTTalEdu	అంతుబట్టలేదు
aMtubaTTani	అంతుబట్టని
aNuvaNuvU	అణువణువూ
aSAMti	అశాంతి
aSAstrIyaMgAnE	అశాస్త్రీయంగానే
aSvatthanArAyaNa	అశ్వత్థనారాయణ
aTTaDugu	అట్టడుగు
aTu	అటు
abbAyi	అబ్బాయి
abbAyilaku	అబ్బాయిలకు
abhIshTaM	అభీష్టం
abhaMSubhaM	అభంశుభం
abhinaMdanIyulE	అభినందనీయులే
abhiprAyapaDDAyi	అభిప్రాయపడ్డాయి
abhishEkAdulni	అభిషేకాదుల్ని
abhishEkAnni	అభిషేకాన్ని
abhishEkaM	అభిషేకం
abhishEkistAru	అభిషేకిస్తారు
abhivRddhI	అభివృద్ధీ
abhivRddhi	అభివృద్ధి
abhivarNitamaiMdi	అభివర్ణితమైంది
abhyarthinI	అభ్యర్థినీ
abhyarthula	అభ్యర్థుల
acyutadEvarAyala	అచ్యుతదేవరాయల
acyutarAyalu	అచ్యుతరాయలు
adE	అదే
adEdO	అదేదో
adEvidhaMgA	అదేవిధంగా
adI	అదీ
adRSyaM	అదృశ్యం
adRSyamaina	అదృశ్యమైన
adRSyamaipOyADaTa	అదృశ్యమైపోయాడట
adRshTavaMtulu	అదృష్టవంతులు
adanaMgA	అదనంగా
adanapu	అదనపు
adbhuta	అద్భుత
adbhutaMgA	అద్భుతంగా
addegadulu	అద్దెగదులు
adhigamiMcoccani	అధిగమించొచ్చని
adhikAri	అధికారి
adhikArikamaina	అధికారికమైన
adhikArlaku	అధికార్లకు
adhikArulu	అధికారులు
adhika	అధిక
adhikaMgA	అధికంగా
adhikaMgAnO	అధికంగానో
adhinEta	అధినేత
adhipatulu	అధిపతులు
adhyayanAlaku	అధ్యయనాలకు
adhyayanAllO	అధ్యయనాల్లో
adhyayanAlu	అధ్యయనాలు
adhyayanaM	అధ్యయనం
adhyayanaMlO	అధ్యయనంలో
adi	అది
adupulO	అదుపులో
agastyESvaruDu	అగస్త్యేశ్వరుడు
agnidEvuDu	అగ్నిదేవుడు
agra	అగ్ర
agraSrENi	అగ్రశ్రేణి
ahObila	అహోబిల
ahObilaM	అహోబిలం
ahObilaMlO	అహోబిలంలో
ai	ఐ
aiTI	ఐటీ
aiTIIes	ఐటీఈఎస్
aidu	ఐదు
aidugurilO	ఐదుగురిలో
aien	ఐఎన్
aikyaM	ఐక్యం
aikyarAjyasamiti	ఐక్యరాజ్యసమితి
aitihyaM	ఐతిహ్యం
aivI	ఐవీ
ajJAnaM	అజ్ఞానం
akAla	అకాల
akauMTeMT	అకౌంటెంట్
akkaDE	అక్కడే
akkaDa	అక్కడ
akkaDi	అక్కడి
akkaNnuMci	అక్కణ్నుంచి
akkuna	అక్కున
akkunajErcukuMTOMdi	అక్కునజేర్చుకుంటోంది
akrama	అక్రమ
akshaya	అక్షయ
alA	అలా
alAMTappuDu	అలాంటప్పుడు
alAMTi	అలాంటి
alAgE	అలాగే
alAgani	అలాగని
alaMkArOtsavAlu	అలంకారోత్సవాలు
alaMkariMcina	అలంకరించిన
alarArE	అలరారే
alarjI	అలర్జీ
alasaTa	అలసట
alasipOtE	అలసిపోతే
alavATu	అలవాటు
alavOkagA	అలవోకగా
alavaDutuMdi	అలవడుతుంది
alipiri	అలిపిరి
alivElumaMga	అలివేలుమంగ
alluDaina	అల్లుడైన
allukunnAyi	అల్లుకున్నాయి
alpAhAraM	అల్పాహారం
amAMtaM	అమాంతం
amAvAsya	అమావాస్య
amIr	అమీర్
amOgha	అమోఘ
amalApurAniki	అమలాపురానికి
amarAvatilO	అమరావతిలో
amarESvaruDigA	అమరేశ్వరుడిగా
amarcE	అమర్చే
ammAyi	అమ్మాయి
ammAyilaku	అమ్మాయిలకు
ammAyillO	అమ్మాయిల్లో
ammAyini	అమ్మాయిని
ammAyitO	అమ్మాయితో
ammaku	అమ్మకు
ammavAri	అమ్మవారి
ammavArini	అమ్మవారిని
ammavArlaku	అమ్మవార్లకు
anAdi	అనాది
anAdigA	అనాదిగా
anArOgyAniki	అనారోగ్యానికి
anE	అనే
anEdi	అనేది
anEka	అనేక
anEkaM	అనేకం
anI	అనీ
anUhya	అనూహ్య
anUhyaMgA	అనూహ్యంగా
anaMtabhOgayya	అనంతభోగయ్య
anaMtaraM	అనంతరం
anaTaM	అనటం
anadu	అనదు
anagA	అనగా
anagAnE	అనగానే
anakUDadu	అనకూడదు
anavasaraMgA	అనవసరంగా
anavasaramaina	అనవసరమైన
anavasaramainavI	అనవసరమైనవీ
ani	అని
anipiMcElA	అనిపించేలా
anipiMcaTaM	అనిపించటం
anipiMciMdi	అనిపించింది
anipiMcinA	అనిపించినా
anipistuMDoccu	అనిపిస్తుండొచ్చు
anipistuMdi	అనిపిస్తుంది
anipistunnadi	అనిపిస్తున్నది
anirvacanIyamaina	అనిర్వచనీయమైన
anivAryamayyAyi	అనివార్యమయ్యాయి
annA	అన్నా
annAbhishEkaM	అన్నాభిషేకం
annAraTa	అన్నారట
annAru	అన్నారు
annI	అన్నీ
anna	అన్న
annadAna	అన్నదాన
annadi	అన్నది
annaprasAda	అన్నప్రసాద
annaprasAdaM	అన్నప్రసాదం
annavi	అన్నవి
annayya	అన్నయ్య
anni	అన్ని
anniMTikI	అన్నింటికీ
annicOTlA	అన్నిచోట్లా
anubaMdha	అనుబంధ
anubhUti	అనుభూతి
anubhUtikI	అనుభూతికీ
anubhavAla	అనుభవాల
anubhavAlu	అనుభవాలు
anubhavAnidE	అనుభవానిదే
anubhavAnni	అనుభవాన్ని
anubhavaM	అనుభవం
anubhavaMlO	అనుభవంలో
anugrahiMcina	అనుగ్రహించిన
anugrahistADani	అనుగ్రహిస్తాడని
anukOvaccu	అనుకోవచ్చు
anukUlamaina	అనుకూలమైన
